id,lat,lon,name,street_no,street_name,street_type,suburb,postcode,sport,type,field_surface,lga,address
"WHITTL9527",-37.646185,145.058027,"Meadowglen reserve & International Athletics Stadium",156-176,"McDonalds","Road","EPPING","3076","Soccer","outdoor","Grass","WHITTLESEA","156-176 McDonalds Road, EPPING 3076"
"DAREBI11797",-37.694323,145.014523,"AMF Keon Park",16-18,"Keon","Parade","KEON PARK","3073","Ten Pin Bowling","indoor","NA","WHITTLESEA","16-18 Keon Parade, KEON PARK 3073"
"WHITTL9547",-37.668174,145.074531,"Telopea Reserve",16-18,"Telopea","Cresent","MILL PARK","3082","Basketball","outdoor","Asphalt","WHITTLESEA","16-18 Telopea Cresent, MILL PARK 3082"
"WHITTL9547",-37.668174,145.074531,"Telopea Reserve",16-18,"Telopea","Cresent","MILL PARK","3082","Tennis","outdoor","Asphalt","WHITTLESEA","16-18 Telopea Cresent, MILL PARK 3082"
"MELTON9090",-37.73443,144.738651,"State Swim Caroline Springs",16-24,"The","Parade","CAROLINE SPRINGS","3023","Swimming","outdoor","NA","MELTON","16-24 The Parade, CAROLINE SPRINGS 3023"
"HUMECI11790",-37.590318,144.93436,"Victor Foster Reserve",16-32,"Pines","Way","CRAIGIEBURN","3064","Cricket","outdoor","Synthetic Pitch","HUME","16-32 Pines Way, CRAIGIEBURN 3064"
"HUMECI11790",-37.590318,144.93436,"Victor Foster Reserve",16-32,"Pines","Way","CRAIGIEBURN","3064","Football","outdoor","Grass","HUME","16-32 Pines Way, CRAIGIEBURN 3064"
"HUMECI11782",-37.676587,144.957678,"Seth Raistrick Reserve",1678-1700,"Sydney","Road","CAMPBELLFIELD","3061","Cricket","outdoor","Synthetic Pitch","HUME","1678-1700 Sydney Road, CAMPBELLFIELD 3061"
"HUMECI11782",-37.676587,144.957678,"Seth Raistrick Reserve",1678-1700,"Sydney","Road","CAMPBELLFIELD","3061","Soccer","outdoor","Grass","HUME","1678-1700 Sydney Road, CAMPBELLFIELD 3061"
"HUMECI11782",-37.676587,144.957678,"Seth Raistrick Reserve",1678-1700,"Sydney","Road","CAMPBELLFIELD","3061","Tennis","outdoor","Asphalt","HUME","1678-1700 Sydney Road, CAMPBELLFIELD 3061"
"HOBSON12971",-37.842771,144.867872,"Loft Reserve",169A,"Mason","Street","NEWPORT","3015","Cricket","outdoor","Turf Pitch","HOBSONS BAY","169A Mason Street, NEWPORT 3015"
"HOBSON12971",-37.842771,144.867872,"Loft Reserve",169A,"Mason","Street","NEWPORT","3015","Cricket","outdoor","Synthetic Pitch","HOBSONS BAY","169A Mason Street, NEWPORT 3015"
"MAROON11045",-37.821886,145.232148,"Ringwood Tennis Club",17-37,"Gardini","Avenue","RINGWOOD","3134","Tennis","outdoor","Clay","MAROONDAH","17-37 Gardini Avenue, RINGWOOD 3134"
"HUMECI11738",-37.632403,144.805857,"Bulla Reserve",17-45,"Green","Street","BULLA","3428","Cricket","outdoor","Synthetic Pitch","HUME","17-45 Green Street, BULLA 3428"
"HUMECI11738",-37.632403,144.805857,"Bulla Reserve",17-45,"Green","Street","BULLA","3428","Football","outdoor","Grass","HUME","17-45 Green Street, BULLA 3428"
"HUMECI11738",-37.632403,144.805857,"Bulla Reserve",17-45,"Green","Street","BULLA","3428","Tennis","outdoor","Artificial Turf","HUME","17-45 Green Street, BULLA 3428"
"MORELA12993",-37.760002,144.978157,"Allard Park",174A,"Donald","Street","BRUNSWICK EAST","3057","Cricket","outdoor","Synthetic Pitch","MORELAND","174A Donald Street, BRUNSWICK EAST 3057"
"MORELA12993",-37.760002,144.978157,"Allard Park",174A,"Donald","Street","BRUNSWICK EAST","3057","Football","outdoor","Grass","MORELAND","174A Donald Street, BRUNSWICK EAST 3057"
"MORELA12993",-37.760002,144.978157,"Allard Park",175A,"Donald","Street","BRUNSWICK EAST","3057","Playground","outdoor",,"MORELAND","175A Donald Street, BRUNSWICK EAST 3057"
"GLENEI11216",-37.926021,145.068459,"Centenary Park",179-185,"Brady","Road","BENTLEIGH EAST","3165","Cricket","outdoor","Synthetic Pitch","GLEN EIRA","179-185 Brady Road, BENTLEIGH EAST 3165"
"GLENEI11216",-37.926021,145.068459,"Centenary Park",179-185,"Brady","Road","BENTLEIGH EAST","3165","Cricket","outdoor","Turf Pitch","GLEN EIRA","179-185 Brady Road, BENTLEIGH EAST 3165"
"GLENEI11216",-37.926021,145.068459,"Centenary Park",179-185,"Brady","Road","BENTLEIGH EAST","3165","Football","outdoor","Grass","GLEN EIRA","179-185 Brady Road, BENTLEIGH EAST 3165"
"GLENEI11216",-37.926021,145.068459,"Centenary Park",179-185,"Brady","Road","BENTLEIGH EAST","3165","Tennis","outdoor","Hard Court","GLEN EIRA","179-185 Brady Road, BENTLEIGH EAST 3165"
"HUMECI11753",-37.66788,144.931519,"Gibb Reserve",185-225,"Blair","Street","BROADMEADOWS","3047","Cricket","outdoor","Synthetic Pitch","HUME","185-225 Blair Street, BROADMEADOWS 3047"
"HUMECI11753",-37.66788,144.931519,"Gibb Reserve",185-225,"Blair","Street","BROADMEADOWS","3047","Soccer","outdoor","Synthetic Pitch","HUME","185-225 Blair Street, BROADMEADOWS 3047"
"BOROON11037",-37.854419,145.08707,"Hartwell Sports Ground",19A,"Bath","Road","BURWOOD","3125","Cricket","outdoor","Synthetic Pitch","BOROONDARA","19A Bath Road, BURWOOD 3125"
"BOROON11037",-37.854419,145.08707,"Hartwell Sports Ground",19A,"Bath","Road","BURWOOD","3125","Soccer","outdoor","Grass","BOROONDARA","19A Bath Road, BURWOOD 3125"
"BOROON11021",-37.861431,145.062932,"Eric Raven Reserve",1A,"High","Street","GLEN IRIS","3146","Cricket","outdoor","Turf Pitch","BOROONDARA","1A High Street, GLEN IRIS 3146"
"BOROON11021",-37.861431,145.062932,"Eric Raven Reserve",1A,"High","Street","GLEN IRIS","3146","Lacrosse","outdoor","NA","BOROONDARA","1A High Street, GLEN IRIS 3146"
"YARRAR11425",-37.91574,145.34486,"Belgrave Recreation Reserve",1A,"Reserve","Road","BELGRAVE","3160","Cricket","outdoor","Synthetic Pitch","YARRA RANGES","1A Reserve Road, BELGRAVE 3160"
"YARRAR11425",-37.91574,145.34486,"Belgrave Recreation Reserve",1A,"Reserve","Road","BELGRAVE","3160","Football","outdoor","Grass","YARRA RANGES","1A Reserve Road, BELGRAVE 3160"
"MAROON11015",-37.799715,145.251253,"Eclipse Gymnastics Ringwood",2/481-493,"Maroondah","Highway","RINGWOOD","3134","Gymnastics","indoor","NA","MAROONDAH","2/481-493 Maroondah Highway, RINGWOOD 3134"
"GLENEI11253",-37.914929,145.050961,"McKinnon Reserve",201-209,"Tucker","Road","MCKINNON","3204","Cricket","outdoor","Synthetic Pitch","GLEN EIRA","201-209 Tucker Road, MCKINNON 3204"
"GLENEI11253",-37.914929,145.050961,"McKinnon Reserve",201-209,"Tucker","Road","MCKINNON","3204","Cricket","outdoor","Turf Pitch","GLEN EIRA","201-209 Tucker Road, MCKINNON 3204"
"GLENEI11253",-37.914929,145.050961,"McKinnon Reserve",201-209,"Tucker","Road","MCKINNON","3204","Football","outdoor","Grass","GLEN EIRA","201-209 Tucker Road, MCKINNON 3204"
"BOROON11010",-37.84867,145.050524,"Burke Road South Reserve",20-28,"Sinclair","Avenue","HAWTHORN","3122","Cricket","outdoor","Turf Pitch","BOROONDARA","20-28 Sinclair Avenue, HAWTHORN 3122"
"BOROON11010",-37.84867,145.050524,"Burke Road South Reserve",20-28,"Sinclair","Avenue","HAWTHORN","3122","Playground","outdoor","NA","BOROONDARA","20-28 Sinclair Avenue, HAWTHORN 3122"
"HUMECI11754",-37.689005,144.899291,"Ginifer Reserve",206-224,"Carrick","Drive","GLADSTONE PARK","3043","Cricket","outdoor","Synthetic Pitch","HUME","206-224 Carrick Drive, GLADSTONE PARK 3043"
"HUMECI11754",-37.689005,144.899291,"Ginifer Reserve",206-224,"Carrick","Drive","GLADSTONE PARK","3043","Football","outdoor","Grass","HUME","206-224 Carrick Drive, GLADSTONE PARK 3043"
"MORELA13017",-37.755137,144.939882,"Dunstan Reserve",21-22,"Peacock","Street","BRUNSWICK WEST","3055","Soccer","outdoor","Grass","MORELAND","21-22 Peacock Street, BRUNSWICK WEST 3055"
"HUMECI11773",-37.564092,144.727895,"Mc Ewen Drive Reserve",21-31,"McEwen","Drive","SUNBURY","3429","Cricket","outdoor","Synthetic Pitch","HUME","21-31 McEwen Drive, SUNBURY 3429"
"HUMECI11773",-37.564092,144.727895,"Mc Ewen Drive Reserve",21-31,"McEwen","Drive","SUNBURY","3429","Football","outdoor","Grass","HUME","21-31 McEwen Drive, SUNBURY 3429"
"HUMECI11766",-37.689708,144.936067,"Jack Roper Reserve",217-241,"Camp","Road","BROADMEADOWS","3047","Soccer","outdoor","Grass","HUME","217-241 Camp Road, BROADMEADOWS 3047"
"HUMECI11730",-37.581566,144.695709,"Eric Boardman Memorial Reserve",224-256,"Mitchells","Lane","SUNBURY","3429","Athletics","outdoor","Grass Running Track","HUME","224-256 Mitchells Lane, SUNBURY 3429"
"HUMECI11730",-37.581566,144.695709,"Eric Boardman Memorial Reserve",224-256,"Mitchells","Lane","SUNBURY","3429","Cricket","outdoor","Synthetic Pitch","HUME","224-256 Mitchells Lane, SUNBURY 3429"
"HUMECI11730",-37.581566,144.695709,"Eric Boardman Memorial Reserve",224-256,"Mitchells","Lane","SUNBURY","3429","Football","outdoor","Grass","HUME","224-256 Mitchells Lane, SUNBURY 3429"
"HUMECI11730",-37.581566,144.695709,"Eric Boardman Memorial Reserve",224-256,"Mitchells","Lane","SUNBURY","3429","Playground","outdoor",,"HUME","224-256 Mitchells Lane, SUNBURY 3429"
"HUMECI5574",-37.583477,144.903016,"Hume Tennis & Community Centre",2-30,"Newbury","Boulevard","CRAIGIEBURN","3064","Tennis","outdoor","Clay","HUME","2-30 Newbury Boulevard, CRAIGIEBURN 3064"
"HUMECI5574",-37.583477,144.903016,"Hume Tennis & Community Centre",2-30,"Newbury","Boulevard","CRAIGIEBURN","3064","Tennis","outdoor","Plexipave","HUME","2-30 Newbury Boulevard, CRAIGIEBURN 3064"
"YARRAR11438",-37.668786,145.539658,"Don Road Sporting Complex",249/263,"Don","Road","HEALESVILLE","3777","Cricket","outdoor","Synthetic Pitch","YARRA RANGES","249/263 Don Road, HEALESVILLE 3777"
"YARRAR11438",-37.668786,145.539658,"Don Road Sporting Complex",249/263,"Don","Road","HEALESVILLE","3777","Football","outdoor","Grass","YARRA RANGES","249/263 Don Road, HEALESVILLE 3777"
"YARRAR11438",-37.668786,145.539658,"Don Road Sporting Complex",249/263,"Don","Road","HEALESVILLE","3777","Soccer","outdoor","Grass","YARRA RANGES","249/263 Don Road, HEALESVILLE 3777"
"YARRAR11438",-37.668786,145.539658,"Don Road Sporting Complex",249/263,"Don","Road","HEALESVILLE","3777","Tennis","outdoor","Clay","YARRA RANGES","249/263 Don Road, HEALESVILLE 3777"
"DAREBI11837",-37.74,145.008,"Northside Boxing Gym",25-27,"Townhall","Avenue","PRESTON","3072","Boxing","indoor","NA","DAREBIN","25-27 Townhall Avenue, PRESTON 3072"
"HUMECI11732",-37.639764,144.88852,"Bradford Avenue Reserve",26-40,"Bradford","Avenue","GREENVALE","3059","Cricket","outdoor","Synthetic Pitch","HUME","26-40 Bradford Avenue, GREENVALE 3059"
"HUMECI11732",-37.639764,144.88852,"Bradford Avenue Reserve",26-40,"Bradford","Avenue","GREENVALE","3059","Football","outdoor","Grass","HUME","26-40 Bradford Avenue, GREENVALE 3059"
"HUMECI11732",-37.639764,144.88852,"Bradford Avenue Reserve",26-40,"Bradford","Avenue","GREENVALE","3059","Playground","outdoor",,"HUME","26-40 Bradford Avenue, GREENVALE 3059"
"WHITTL9566",-37.51197,145.11723,"Whittlesea Fitness Centre",2-68,"Church","Street","WHITTLESEA","3757","Aerobics","indoor","NA","WHITTLESEA","2-68 Church Street, WHITTLESEA 3757"
"BOROON11005",-37.801945,145.08444,"Boroondara Sports Complex",271C,"Belmore","Road","BALWYN NORTH","3104","Aerobics","indoor","NA","BOROONDARA","271C Belmore Road, BALWYN NORTH 3104"
"BOROON11005",-37.801945,145.08444,"Boroondara Sports Complex",271C,"Belmore","Road","BALWYN NORTH","3104","Badminton","indoor","NA","BOROONDARA","271C Belmore Road, BALWYN NORTH 3104"
"BOROON11005",-37.801945,145.08444,"Boroondara Sports Complex",271C,"Belmore","Road","BALWYN NORTH","3104","Basketball","indoor","NA","BOROONDARA","271C Belmore Road, BALWYN NORTH 3104"
"BOROON11005",-37.801945,145.08444,"Boroondara Sports Complex",271C,"Belmore","Road","BALWYN NORTH","3104","Fitness / Gymnasium Workouts","indoor","NA","BOROONDARA","271C Belmore Road, BALWYN NORTH 3104"
"BOROON11005",-37.801945,145.08444,"Boroondara Sports Complex",271C,"Belmore","Road","BALWYN NORTH","3104","Gymnastics","indoor","NA","BOROONDARA","271C Belmore Road, BALWYN NORTH 3104"
