id,lat,lon,name,street_no,street_name,street_type,suburb,postcode,sport,type,field_surface,lga
KINGST10951,-37.945332,145.13053,Grange Reserve,NA,Osborne,Avenue,CLAYTON SOUTH,3169,Soccer,outdoor,Grass,KINGSTON
KINGST10951,-37.945332,145.13053,Grange Reserve,NA,Osborne,Avenue,CLAYTON SOUTH,3169,Tennis,outdoor,Hard Court,KINGSTON
KINGST10955,-37.935584,145.124145,Keeley Park,NA,Clarevale,Street,CLAYTON SOUTH,3169,Cricket,outdoor,Synthetic Pitch,KINGSTON
KINGST10955,-37.935584,145.124145,Keeley Park,NA,Clarevale,Street,CLAYTON SOUTH,3169,Football,outdoor,Grass,KINGSTON
KINGST10955,-37.935584,145.124145,Keeley Park,NA,Clarevale,Street,CLAYTON SOUTH,3169,Soccer,outdoor,Grass,KINGSTON
KINGST10972,-37.93217,145.111131,Namatjira Reserve,NA,Newport,Road,CLAYTON SOUTH,3169,Cricket,outdoor,Turf Pitch,KINGSTON
KINGST10972,-37.93217,145.111131,Namatjira Reserve,NA,Newport,Road,CLAYTON SOUTH,3169,Football,outdoor,Grass,KINGSTON
KINGST10972,-37.93217,145.111131,Namatjira Reserve,NA,Newport,Road,CLAYTON SOUTH,3169,Skating,outdoor,Concrete,KINGSTON
KINGST10972,-37.93217,145.111131,Namatjira Reserve,NA,Newport,Road,CLAYTON SOUTH,3169,Tennis,outdoor,Asphalt,KINGSTON
GREATE11631,-37.936376,145.168138,Edinburgh Reserve,NA,Dowling,Avenue,MULGRAVE,3170,Cricket,outdoor,Synthetic Pitch,GREATER DANDENONG
GREATE11631,-37.936376,145.168138,Edinburgh Reserve,NA,Dowling,Avenue,MULGRAVE,3170,Football,outdoor,Grass,GREATER DANDENONG
MONASH12017,-37.917795,145.16694,Freeway Reserve,NA,Kernot,Avenue,MULGRAVE,3170,Cricket,outdoor,Synthetic Pitch,MONASH
MONASH12017,-37.917795,145.16694,Freeway Reserve,NA,Kernot,Avenue,MULGRAVE,3170,Soccer,outdoor,Grass,MONASH
MONASH12021,-37.932221,145.199512,Gladeswood Reserve,NA,Maygrove,Way,MULGRAVE,3170,Baseball,outdoor,Grass,MONASH
MONASH12021,-37.932221,145.199512,Gladeswood Reserve,NA,Maygrove,Way,MULGRAVE,3170,Cricket,outdoor,Synthetic Pitch,MONASH
GREATE11636,-37.939349,145.147027,Glendale Reserve,NA,Whitworth,Avenue,MULGRAVE,3170,Soccer,outdoor,Grass,GREATER DANDENONG
MONASH12061,-37.934088,145.177336,Southern Reserve,NA,Rupert,Drive,MULGRAVE,3170,Cricket,outdoor,Synthetic Pitch,MONASH
MONASH12070,-37.925702,145.188673,Waverley Park,NA,Stadium,Circuit,MULGRAVE,3170,Football,outdoor,Grass,MONASH
MONASH12072,-37.927284,145.162584,Wellington Reserve,NA,Mackie,Road,MULGRAVE,3170,Cricket,outdoor,Synthetic Pitch,MONASH
MONASH12072,-37.927284,145.162584,Wellington Reserve,NA,Mackie,Road,MULGRAVE,3170,Football,outdoor,Grass,MONASH
GREATE11617,-37.963132,145.152186,Burden Park,NA,Heatherton,Road,SPRINGVALE,3171,Lawn Bowls,outdoor,Grass,GREATER DANDENONG
GREATE11617,-37.963132,145.152186,Burden Park,NA,Heatherton,Road,SPRINGVALE,3171,Playground,outdoor,,GREATER DANDENONG
GREATE11617,-37.963132,145.152186,Burden Park,NA,Heatherton,Road,SPRINGVALE,3171,Tennis,outdoor,Hard Court,GREATER DANDENONG
MANNIN11014,-37.799435,145.177737,Manningham Donvale Indoor Sports Centre,360,Springvale,Road,SPRINGVALE,3171,Badminton,indoor,Wooden Gymnasium,MANNINGHAM
MANNIN11014,-37.799435,145.177737,Manningham Donvale Indoor Sports Centre,360,Springvale,Road,SPRINGVALE,3171,Basketball,indoor,Wooden Gymnasium,MANNINGHAM
MANNIN11014,-37.799435,145.177737,Manningham Donvale Indoor Sports Centre,360,Springvale,Road,SPRINGVALE,3171,Netball,indoor,Wooden Gymnasium,MANNINGHAM
MANNIN11014,-37.799435,145.177737,Manningham Donvale Indoor Sports Centre,360,Springvale,Road,SPRINGVALE,3171,Table Tennis,indoor,NA,MANNINGHAM
MANNIN11014,-37.799435,145.177737,Manningham Donvale Indoor Sports Centre,360,Springvale,Road,SPRINGVALE,3171,Volleyball,indoor,Wooden Gymnasium,MANNINGHAM
GREATE11652,-37.954379,145.140357,Norman Luth Reserve,NA,Heritage,Drive,SPRINGVALE,3171,Soccer,outdoor,Grass,GREATER DANDENONG
GREATE11658,-37.941992,145.168696,Sandown Indoor Tennis & Sports Centre,NA,Brough,Street,SPRINGVALE,3171,Fitness / Gymnasium Workouts,indoor,NA,GREATER DANDENONG
GREATE11658,-37.941992,145.168696,Sandown Indoor Tennis & Sports Centre,NA,Brough,Street,SPRINGVALE,3171,Tennis,indoor,NA,GREATER DANDENONG
GREATE11662,-37.969029,145.146441,Spring Valley Park,NA,Springvale,Road,SPRINGVALE,3171,Soccer,outdoor,Grass,GREATER DANDENONG
GREATE11664,-37.975114,145.147312,Springvale Indoor Sports,546,Springvale,Road,SPRINGVALE,3171,Cricket,indoor,NA,GREATER DANDENONG
GREATE11664,-37.975114,145.147312,Springvale Indoor Sports,546,Springvale,Road,SPRINGVALE,3171,Futsal,indoor,Wooden Gymnasium,GREATER DANDENONG
GREATE11664,-37.975114,145.147312,Springvale Indoor Sports,546,Springvale,Road,SPRINGVALE,3171,Netball,indoor,Wooden Gymnasium,GREATER DANDENONG
GREATE11665,-37.943645,145.147509,Springvale Reserve,NA,Ericksen,Street,SPRINGVALE,3171,Cricket,outdoor,Turf Pitch,GREATER DANDENONG
GREATE11665,-37.943645,145.147509,Springvale Reserve,NA,Ericksen,Street,SPRINGVALE,3171,Football,outdoor,Grass,GREATER DANDENONG
GREATE11666,-37.97299,145.149683,Springvale South Tennis Club,NA,Mackay,Street,SPRINGVALE,3171,Tennis,indoor,Hard Court,GREATER DANDENONG
GREATE11667,-37.943258,145.157616,Springvale Tennis Club,NA,Furnew,Street,SPRINGVALE,3171,Tennis,outdoor,Artificial Turf,GREATER DANDENONG
GREATE11671,-37.946035,145.161401,Warner Reserve,NA,Flynn,Street,SPRINGVALE,3171,Cricket,outdoor,Turf Pitch,GREATER DANDENONG
GREATE11671,-37.946035,145.161401,Warner Reserve,NA,Flynn,Street,SPRINGVALE,3171,Soccer,outdoor,Grass,GREATER DANDENONG
