"""id""",lat,lon,"""name""",street_no,"""street_name""","""street_type""","""suburb""",postcode,"""sport""","""type""","""lga""","""address"""
"""BAYSID12392""",-37.913196,145.004682,"""William Street Reserve""",,"""William""","""Street""","""BRIGHTON""","""3186""","""Football""","""outdoor""","""BAYSIDE""","""William Street, BRIGHTON 3186"""
"""BAYSID12372""",-37.909522,144.993288,"""Wilson Reserve""",,"""Outer""","""Cresent""","""BRIGHTON""","""3186""","""Athletics""","""outdoor""","""BAYSIDE""","""Outer Cresent, BRIGHTON 3186"""
"""BAYSID12372""",-37.909522,144.993288,"""Wilson Reserve""",,"""Outer""","""Cresent""","""BRIGHTON""","""3186""","""Cricket""","""outdoor""","""BAYSIDE""","""Outer Cresent, BRIGHTON 3186"""
"""BAYSID12372""",-37.909522,144.993288,"""Wilson Reserve""",,"""Outer""","""Cresent""","""BRIGHTON""","""3186""","""Soccer""","""outdoor""","""BAYSIDE""","""Outer Cresent, BRIGHTON 3186"""
"""BAYSID12362""",-37.942545,145.021452,"""Boss James Reserve""",,"""James""","""Cresent""","""HAMPTON""","""3188""","""Cricket""","""outdoor""","""BAYSIDE""","""James Cresent, HAMPTON 3188"""
"""BAYSID12364""",-37.933475,145.012073,"""Castlefield Reserve""",,"""Ludstone""","""Street""","""HAMPTON""","""3188""","""Cricket""","""outdoor""","""BAYSIDE""","""Ludstone Street, HAMPTON 3188"""
"""BAYSID5411""",-37.9393,145.018,"""Glamis Avenue Reserve""",,"""Glamis""","""Avenue""","""HAMPTON""","""3188""","""Athletics""","""outdoor""","""BAYSIDE""","""Glamis Avenue, HAMPTON 3188"""
"""BAYSID12351""",-37.939513,145.017855,"""Glamis Avenue Reserve""",,"""Glamis""","""Avenue""","""HAMPTON""","""3188""","""Athletics""","""outdoor""","""BAYSIDE""","""Glamis Avenue, HAMPTON 3188"""
"""BAYSID12351""",-37.939513,145.017855,"""Glamis Avenue Reserve""",,"""Glamis""","""Avenue""","""HAMPTON""","""3188""","""Netball""","""outdoor""","""BAYSIDE""","""Glamis Avenue, HAMPTON 3188"""
"""BAYSID12351""",-37.939513,145.017855,"""Glamis Avenue Reserve""",,"""Glamis""","""Avenue""","""HAMPTON""","""3188""","""Soccer""","""outdoor""","""BAYSIDE""","""Glamis Avenue, HAMPTON 3188"""
"""BAYSID11245""",-37.937982,144.997921,"""Hampton Life Saving Club""",,"""Beach""","""Road""","""HAMPTON""","""3188""","""Surf Life Saving""","""outdoor""","""BAYSIDE""","""Beach Road, HAMPTON 3188"""
"""BAYSID12391""",-37.940487,145.026844,"""Moorabbin West Reserve""",,"""Widdop""","""Cresent""","""HAMPTON EAST""","""3188""","""Baseball""","""outdoor""","""BAYSIDE""","""Widdop Cresent, HAMPTON EAST 3188"""
"""BAYSID12391""",-37.940487,145.026844,"""Moorabbin West Reserve""",,"""Widdop""","""Cresent""","""HAMPTON EAST""","""3188""","""Cricket""","""outdoor""","""BAYSIDE""","""Widdop Cresent, HAMPTON EAST 3188"""
"""BAYSID12391""",-37.940487,145.026844,"""Moorabbin West Reserve""",,"""Widdop""","""Cresent""","""HAMPTON EAST""","""3188""","""Softball""","""outdoor""","""BAYSIDE""","""Widdop Cresent, HAMPTON EAST 3188"""
"""BAYSID12349""",-37.938019,145.020934,"""WL Simpson Reserve""",,"""Fewster""","""Road""","""HAMPTON""","""3188""","""Cricket""","""outdoor""","""BAYSIDE""","""Fewster Road, HAMPTON 3188"""
"""BAYSID12349""",-37.938019,145.020934,"""WL Simpson Reserve""",,"""Fewster""","""Road""","""HAMPTON""","""3188""","""Tennis""","""outdoor""","""BAYSIDE""","""Fewster Road, HAMPTON 3188"""
"""KINGST10937""",-37.941979,145.03822,"""Dane Road Reserve""",,"""Dane""","""Road""","""MOORABBIN""","""3189""","""Cricket""","""outdoor""","""KINGSTON""","""Dane Road, MOORABBIN 3189"""
"""KINGST10937""",-37.941979,145.03822,"""Dane Road Reserve""",,"""Dane""","""Road""","""MOORABBIN""","""3189""","""Tennis""","""outdoor""","""KINGSTON""","""Dane Road, MOORABBIN 3189"""
"""KINGST10950""",-37.941111,145.051437,"""GR Bricker Reserve""",,"""Rowans""","""Road""","""MOORABBIN""","""3189""","""Athletics""","""outdoor""","""KINGSTON""","""Rowans Road, MOORABBIN 3189"""
"""KINGST10950""",-37.941111,145.051437,"""GR Bricker Reserve""",,"""Rowans""","""Road""","""MOORABBIN""","""3189""","""Cricket""","""outdoor""","""KINGSTON""","""Rowans Road, MOORABBIN 3189"""
"""KINGST10968""",-37.943918,145.076842,"""Moorabbin Indoor Tennis""",,"""Cochranes""","""Road""","""MOORABBIN""","""3189""","""Futsal""","""indoor""","""KINGSTON""","""Cochranes Road, MOORABBIN 3189"""
"""KINGST10968""",-37.943918,145.076842,"""Moorabbin Indoor Tennis""",,"""Cochranes""","""Road""","""MOORABBIN""","""3189""","""Netball""","""indoor""","""KINGSTON""","""Cochranes Road, MOORABBIN 3189"""
"""KINGST10968""",-37.943918,145.076842,"""Moorabbin Indoor Tennis""",,"""Cochranes""","""Road""","""MOORABBIN""","""3189""","""Tennis""","""indoor""","""KINGSTON""","""Cochranes Road, MOORABBIN 3189"""
"""KINGST10953""",-37.951004,145.055651,"""Highett Reserve""",,"""Turner""","""Road""","""HIGHETT""","""3190""","""Archery""","""outdoor""","""KINGSTON""","""Turner Road, HIGHETT 3190"""
"""KINGST10953""",-37.951004,145.055651,"""Highett Reserve""",,"""Turner""","""Road""","""HIGHETT""","""3190""","""Cricket""","""outdoor""","""KINGSTON""","""Turner Road, HIGHETT 3190"""
"""KINGST10953""",-37.951004,145.055651,"""Highett Reserve""",,"""Turner""","""Road""","""HIGHETT""","""3190""","""Football""","""outdoor""","""KINGSTON""","""Turner Road, HIGHETT 3190"""
"""BAYSID12376""",-37.945954,145.026022,"""Peterson Street Reserve""",,"""Peterson""","""Street""","""HIGHETT""","""3190""","""Cricket""","""outdoor""","""BAYSIDE""","""Peterson Street, HIGHETT 3190"""
"""BAYSID12376""",-37.945954,145.026022,"""Peterson Street Reserve""",,"""Peterson""","""Street""","""HIGHETT""","""3190""","""Football""","""outdoor""","""BAYSIDE""","""Peterson Street, HIGHETT 3190"""
"""KINGST10983""",-37.956513,145.049628,"""Sir William Fry Reserve""",,"""Nepean""","""Hwy""","""HIGHETT""","""3190""","""Skating""","""outdoor""","""KINGSTON""","""Nepean Hwy, HIGHETT 3190"""
"""BAYSID12383""",-37.953063,145.033477,"""St Stevens Tennis Club""",,"""Tibrockney""","""Street""","""HIGHETT""","""3190""","""Tennis""","""outdoor""","""BAYSIDE""","""Tibrockney Street, HIGHETT 3190"""
